time_s,VA_kV,VB_kV,VC_kV
0.0,0.0,-93.33809511662427,93.33809511662427
0.0002,6.767408275367517,-96.53761784465513,89.7702095692876
0.0004,13.508108682006911,-99.35615069889548,85.84804201688857
0.0006000000000000001,20.195498754946257,-101.78257021783483,81.58707146288859
0.0008,26.803186420745583,-103.80730043215759,77.00411401141201
0.001,33.30509415495331,-105.42235065671903,72.11725650176572
0.0012000000000000001,39.675561898181634,-106.62134702612909,66.94578512794747
0.0014,45.88944832463788,-107.39955764948705,61.510109324849175
0.0016,51.922230063451515,-107.75391128499314,55.831681221541615
0.0018000000000000002,57.75009848121524,-107.68300946073676,49.93291097952156
0.002,63.35005364378396,-107.1871319938263,43.83707835004237
0.0022,68.69999508650719,-106.26823588607881,37.56824079957165
0.0024000000000000002,73.77880903466624,-104.92994760062786,31.15113856596164
0.0026000000000000003,78.56645172989711,-103.17754874993035,24.611097020033263
0.0028,83.04402853374762,-101.01795525165514,17.973926717907563
0.003,87.19386849618324,-98.45969003471546,11.265821538532265
0.0032,90.99959409475375,-95.51284940316239,4.513255308408663
0.0034000000000000002,94.44618586919228,-92.18906319068523,-2.2571226785070095
0.0036000000000000003,97.52004169636307,-88.50144886297116,-9.01859283339188
0.0038,100.20903047162746,-84.46455974906094,-15.74447072256645
0.004,102.50253998477157,-80.09432760600797,-22.408212378763565
0.004200000000000001,104.39151880155188,-75.40799974351168,-28.983519058040148
0.0044,105.86851198557088,-70.42407095666587,-35.44444102890496
0.0046,106.92769051950523,-65.16221053545172,-41.7654799840535
0.0048000000000000004,107.56487430957417,-59.643184639036356,-47.92168967053774
0.005,107.77754868245984,-53.8887743412299,-53.88877434122989
0.005200000000000001,107.56487430957417,-47.92168967053773,-59.64318463903636
0.0054,106.92769051950523,-41.76547998405347,-65.16221053545172
0.0056,105.86851198557088,-35.44444102890496,-70.42407095666589
0.0058000000000000005,104.39151880155188,-28.983519058040137,-75.40799974351168
0.006,102.50253998477157,-22.408212378763555,-80.094327606008
0.006200000000000001,100.20903047162744,-15.744470722566438,-84.46455974906094
0.0064,97.52004169636305,-9.018592833391844,-88.5014488629712
0.0066,94.44618586919225,-2.257122678506975,-92.18906319068525
0.0068000000000000005,90.99959409475375,4.513255308408698,-95.51284940316238
0.007,87.19386849618324,11.265821538532252,-98.45969003471544
0.007200000000000001,83.04402853374759,17.973926717907595,-101.01795525165518
0.0074,78.5664517298971,24.611097020033295,-103.17754874993038
0.0076,73.77880903466621,31.151138565961674,-104.92994760062787
0.0078000000000000005,68.69999508650717,37.56824079957168,-106.26823588607881
0.008,63.35005364378397,43.83707835004236,-107.1871319938263
0.0082,57.75009848121519,49.93291097952159,-107.68300946073676
0.008400000000000001,51.92223006345146,55.831681221541686,-107.75391128499314
0.0086,45.88944832463786,61.51010932484921,-107.39955764948705
0.0088,39.675561898181606,66.9457851279475,-106.62134702612909
0.009000000000000001,33.30509415495328,72.11725650176577,-105.42235065671902
0.0092,26.803186420745586,77.00411401141201,-103.80730043215759
